bill_id,person_id
2000001,9770995
2000002,9770904
2000003,9770678
2000004,9770914
2000005,9770678
2000006,9770678
2000007,9770678
2000008,9770678
2000009,9771038
2000010,9770678
2000011,9770678
2000012,9770678
2000013,9770678
2000014,9770678
2000015,9770886
2000016,9770347
2000017,9770347
2000018,9770899
2000019,9770899
2000020,9770835
2000021,9770669
2000022,9770708
2000023,9770708
2000024,9771045
2000025,9770523
2000026,9770625
2000027,9770602
2000028,9770974
2000029,9770974
2000030,9770824
2000031,9770824
2000032,9770685
2000033,9770523
2000034,9770765
2000035,9770908
2000036,9770908
2000037,9770813
2000038,9770765
2000039,9770753
2000040,9770765
2000041,9770727
2000042,9770727
2000043,9770813
2000044,9770727
2000045,9770386
2000046,9770752
2000047,9770573
2000048,9770573
2000049,9770573
2000050,9770602
2000051,9770602
2000052,9770768
2000055,9770826
2000056,9770826
2000057,9770918
2000059,9770918
2000060,9770456
2000061,9770456
2000062,9770450
2000063,9771038
2000064,9770784
2000065,9770568
2000066,9770688
2000067,9770987
2000068,9770987
2000069,9770987
2000070,9770987
2000071,9770987
2000072,9770688
2000073,9770987
2000074,9770987
2000075,9770872
2000076,9770594
2000077,9770872
2000078,9770527
2000079,9771082
2000080,9770972
2000081,9770295
2000082,9770786
2000083,9770786
2000084,9770741
2000085,9770741
2000086,9770812
2000087,9770380
2000088,9771081
2000089,9770458
2000090,9770375
2000091,9770808
2000092,9770678
2000093,9770678
2000094,9770678
2000095,9770678
2000096,9771038
2000097,9770768
2000098,9771038
2000099,9771038
2000100,9770768
2000101,9771038
2000102,9770752
2000103,9770774
2000104,9770602
2000105,9770859
2000106,9770347
2000107,9770347
2000108,9770347
2000109,9770869
2000110,9770869
2000111,9770295
2000112,9770688
2000113,9770878
2000114,9770932
2000115,9770566
2000116,9770878
2000117,9770878
2000118,9770347
2000119,9770566
2000120,9770822
2000121,9770456
2000122,9770456
2000123,9770765
2000124,9770998
2000125,9770998
2000126,9770878
2000127,9770670
2000128,9770670
2000129,9770678
2000130,9770998
2000131,9770477
2000132,9770477
2000133,9770477
2000134,9770765
2000135,9770477
2000136,9770860
2000137,9770688
2000138,9770998
2000139,9770753
2000140,9770860
2000141,9771085
2000142,9771084
2000143,9770813
2000144,9770713
2000145,9771011
2000146,9770929
2000147,9770753
2000148,9770881
2000149,9770678
2000150,9770741
2000151,9770741
2000152,9770741
2000153,9770741
2000154,9770741
2000155,9770512
2000156,9770512
2000157,9770992
2000159,9770723
2000160,9770723
2000161,9770723
2000162,9770883
2000163,9770723
2000164,9770723
